year,product,sub_product,sub_prod_value,innovation,color,prod ms boulder,sub-prod ms/100,(sum check),wax_wane,sub_prod_indigenous_migrant
1100,building,self_built_structures,816,0.2,#fae89c,122,0.67,,N,0
1100,building,by_master_builder,403,0.8,#f0c80a,122,0.33,,N,-2
1100,code,proportional_system,320,0.8,#b8dfef,80,0.4,,N,1
1100,code,technical_standard,160,1,#6bcee7,80,0.2,,N,-2
1100,code,building_code,80,0.6,#07aade,80,0.1,,N,-2
1100,code,natural_language,240,0.5,#04566a,80,0.3,,N,2
1100,drawing,orthographic_projection,305,0.6,#f8d2d1,35,0.87,,X,-2
1100,drawing,detail,46,0.5,#de1c1f,35,0.13,,X,-2
1100,image,diagram,0,0.8,#f6b5f3,0,0.57,,,0
1100,image,rendered_drawing,0,0.8,#ef65ff,0,0.43,,,1
1100,model,abstract,138,0.2,#99f5a0,26,0.53,,X,1
1100,model,formal_study,70,0.2,#e3ffe9,26,0.27,,X,-2
1100,model,presentation,52,0.8,#00e50e,26,0.2,,X,-2
1100,profession,master_builder,,0.5,#f1bb93,0,0.5,,,-2
1100,profession,guild_system,,1,#fa9a68,0,0.5,,,-1
1100,text,treatise,456,1,#d9dff1,57,0.8,,X,-2
1100,text,monograph,114,0.6,#4258ad,57,0.2,3200,X,0
1500,building,self_built_structures,,0.1,#fae89c,0,0.53,,,-1
1500,building,by_master_builder,,0.6,#f0c80a,0,0.4,,,-2
1500,building,not_producing_buildings,,0.2,#d9d9d9,0,0.7,,,-2
1500,code,proportional_system,108,0.2,#b8dfef,40,0.27,,N,0
1500,code,technical_standard,132,1,#6bcee7,40,0.33,,N,-2
1500,code,building_code,40,0.9,#07aade,40,0.1,,N,-2
1500,code,natural_language,120,0.5,#04566a,40,0.3,,N,2
1500,drawing,orthographic_projection,352,0.5,#f8d2d1,80,0.44,,X,-2
1500,drawing,detail,184,0.5,#de1c1f,80,0.23,,X,-2
1500,drawing,constructed_perspective,264,0.8,#ffa4a3,80,0.33,,X,-2
1500,image,diagram,33,0.7,#f6b5f3,9,0.37,,X,0
1500,image,rendered_drawing,30,0.6,#ef65ff,9,0.33,,X,1
1500,image,rendering,27,0.7,#750071,9,0.3,,X,0
1500,model,abstract,266,0.2,#99f5a0,116,0.23,,N,-1
1500,model,formal_study,348,0.3,#e3ffe9,116,0.3,,N,-2
1500,model,presentation,545,0.8,#00e50e,116,0.47,,N,-2
1500,profession,guild_system,200,1,#fa9a68,20,1,,X,-1
1500,text,treatise,237,0.8,#d9dff1,55,0.43,,X,-2
1500,text,monograph,314,0.6,#4258ad,55,0.57,3200,X,-1
1700,building,self_built_structures,,0.1,#fae89c,0,0.5, ,,-1
1700,building,by_master_builder,,0.05,#f0c80a,0,0.07,,,-2
1700,building,not_producing_buildings,,0.3,#d9d9d9,0,0.43,,,-2
1700,code,proportional_system,42,0.1,#b8dfef,25,0.17,,X,0
1700,code,technical_standard,68,0.9,#6bcee7,25,0.27,,X,-2
1700,code,building_code,50,1,#07aade,25,0.2,,X,-2
1700,code,zoning,24,0.7,#0683a1,25,0.1,,X,1
1700,code,natural_language,65,0.2,#04566a,25,0.26,,X,2
1700,drawing,orthographic_projection,448,0.5,#f8d2d1,121,0.37,,X,-2
1700,drawing,detail,327,0.5,#de1c1f,121,0.27,,X,-2
1700,drawing,constructed_perspective,399,0.8,#ffa4a3,121,0.33,,X,-2
1700,drawing,specification,36,0.2,#8d1115,121,0.03,,X,-1
1700,image,diagram,30,0.7,#f6b5f3,24,0.13,,X,0
1700,image,rendered_drawing,103,0.6,#ef65ff,24,0.43,,X,-1
1700,image,rendering,106,0.7,#750071,24,0.44,,X,0
1700,model,abstract,70,0.2,#99f5a0,70,0.1,,N,-1
1700,model,formal_study,189,0.3,#e3ffe9,70,0.27,,N,-2
1700,model,presentation,441,0.8,#00e50e,70,0.63,,N,-2
1700,profession,guild_system,113,0.6,#fa9a68,25,0.45,,X,-2
1700,profession,academic_institutions,138,0.8,#f16e45,25,0.55,,X,-2
1700,text,treatise,149,0.4,#d9dff1,55,0.27,,N,-2
1700,text,monograph,402,0.8,#4258ad,55,0.73,3200,N,-1
1900,building,self_built_structures,9,0.1,#fae89c,2,0.43,,X,-1
1900,building,not_producing_buildings,11,0.3,#d9d9d9,2,0.57,,X,-2
1900,code,proportional_system,42,0.1,#b8dfef,60,0.07,,N,0
1900,code,technical_standard,138,0.9,#6bcee7,60,0.23,,N,-2
1900,code,building_code,162,1,#07aade,60,0.27,,N,-2
1900,code,zoning,180,1,#0683a1,60,0.3,,N,1
1900,code,natural_language,78,0.1,#04566a,60,0.13,,N,2
1900,drawing,orthographic_projection,360,0.5,#f8d2d1,120,0.3,,N,-2
1900,drawing,detail,672,0.5,#de1c1f,120,0.56,,N,-2
1900,drawing,constructed_perspective,84,0.7,#ffa4a3,120,0.07,,N,-2
1900,drawing,specification,84,0.2,#8d1115,120,0.07,,N,-1
1900,image,diagram,16,0.7,#f6b5f3,23,0.07,,X,0
1900,image,rendered_drawing,85,0.4,#ef65ff,23,0.37,,X,-1
1900,image,rendering,90,0.8,#750071,23,0.39,,X,0
1900,image,photograph,39,0.7,#e200df,23,0.17,,X,2
1900,model,abstract,49,0.2,#99f5a0,70,0.07,,X,-1
1900,model,formal_study,119,0.3,#e3ffe9,70,0.17,,X,-2
1900,model,presentation,392,0.8,#00e50e,70,0.56,,X,-2
1900,model,physical_mockup,140,0.5,#009f1d,70,0.2,,X,-2
1900,profession,academic_institutions,175,0.7,#f16e45,25,0.7,,X,-2
1900,profession,professional_bodies,75,0.9,#f33d0e,25,0.3,,X,-2
1900,text,treatise,34,0.2,#d9dff1,20,0.17,,N,-2
1900,text,monograph,26,0.7,#4258ad,20,0.13,,N,-1
1900,text,manifesto,26,0.2,#8d9bcf,20,0.13,,N,1
1900,text,discursive_monologue,114,0.3,#322b83,20,0.57,3200,N,0
1950,building,self_built_structures,5,0.1,#fae89c,2,0.27,,X,-1
1950,building,not_producing_buildings,11,0.3,#d9d9d9,2,0.57,,X,-2
1950,building,design_build,3,0.4,#b59607,2,0.13,,X,-1
1950,building,design_develop,1,0.4,#756804,2,0.03,,X,0
1950,code,proportional_system,20,0.1,#b8dfef,29,0.07,,X,0
1950,code,technical_standard,58,0.9,#6bcee7,29,0.2,,X,-2
1950,code,building_code,87,1,#07aade,29,0.3,,X,-2
1950,code,zoning,67,1,#0683a1,29,0.23,,X,1
1950,code,natural_language,38,0.1,#04566a,29,0.13,,X,2
1950,code,data_structures,20,0.7,#003d63,29,0.07,,X,2
1950,drawing,orthographic_projection,296,0.8,#f8d2d1,110,0.27,,N,-2
1950,drawing,detail,660,0.6,#de1c1f,110,0.6,,N,-2
1950,drawing,specification,143,0.2,#8d1115,110,0.13,,N,-1
1950,image,diagram,62,0.7,#f6b5f3,62,0.1,,X,0
1950,image,rendered_drawing,105,0.4,#ef65ff,62,0.17,,X,-1
1950,image,rendering,143,0.8,#750071,62,0.23,,X,0
1950,image,photograph,310,0.7,#e200df,62,0.5,,X,2
1950,model,abstract,62,0.2,#99f5a0,62,0.1,,X,-2
1950,model,formal_study,62,0.3,#e3ffe9,62,0.1,,X,-2
1950,model,presentation,267,0.8,#00e50e,62,0.43,,X,-2
1950,model,physical_mockup,229,0.6,#009f1d,62,0.37,,X,-2
1950,profession,academic_institutions,200,0.7,#f16e45,40,0.5,,N,-2
1950,profession,professional_bodies,200,0.9,#f33d0e,40,0.5,,N,-2
1950,text,monograph,26,0.7,#4258ad,15,0.17,,N,-1
1950,text,manifesto,60,0.2,#8d9bcf,15,0.4,,N,-1
1950,text,discursive_monologue,65,0.3,#322b83,15,0.43,3200,N,-1
2020,building,self_built_structures,2,0.1,#fae89c,5,0.03,,X,-1
2020,building,not_producing_buildings,15,0.3,#d9d9d9,5,0.3,,X,-2
2020,building,design_build,25,0.4,#b59607,5,0.5,,X,-1
2020,building,design_develop,9,0.4,#756804,5,0.17,,X,-1
2020,code,technical_standard,45,0.9,#6bcee7,45,0.1,,X,-2
2020,code,building_code,122,1,#07aade,45,0.27,,X,-2
2020,code,zoning,104,1,#0683a1,45,0.23,,X,1
2020,code,natural_language,14,0.1,#04566a,45,0.03,,X,2
2020,code,data_structures,167,0.9,#003d63,45,0.37,,X,-1
2020,drawing,orthographic_projection,102,0.8,#f8d2d1,60,0.17,,N,-2
2020,drawing,detail,222,0.6,#de1c1f,60,0.37,,N,-2
2020,drawing,specification,276,0.3,#8d1115,60,0.46,,N,-2
2020,image,diagram,110,0.7,#f6b5f3,110,0.1,,X,1
2020,image,rendered_drawing,143,0.3,#ef65ff,110,0.13,,X,-1
2020,image,rendering,296,0.9,#750071,110,0.27,,X,-1
2020,image,photograph,296,0.9,#e200df,110,0.27,,X,2
2020,image,moving_image,252,0.4,#ab1e7b,110,0.23,,X,2
